email_id,received_at,body
59,2025-12-13T23:47:44.135503,Just checking in for an update on my order ORD-10059. Thanks.
60,2025-12-16T04:29:44.135503,"I ordered a product but i recieved a old used product , refund my money"
61,2025-12-21T00:58:44.135503,"I have ordered 2 products , i recieved from both at a time form same delivery person , I didnt like both the proeducts i requested for return . The agent alloted is different for each product but the delivery agent took my both product and not answering calls i want refund for both the products."
62,2025-12-17T02:26:44.135503,Is my product shipping is done ?
63,2025-12-16T20:40:44.135503,I have not received my refund for order ORD-10063.
64,2025-12-19T12:12:44.135503,Is my product shipping is done ?
65,2025-12-15T00:40:44.135503,I was charged incorrectly for order ORD-10065. Please fix this.
66,2025-12-13T09:07:44.135503,I need help understanding my last invoice. Invoice INV-10066.
67,2025-12-14T19:38:44.135503,I have not received my refund for order ORD-10067.
68,2025-12-20T05:32:44.135503,Please cancel my subscription immediately. Account ID ACC-10068.
69,2025-12-17T07:10:44.135503,Why is this taking so long? Order number ORD-10069.
70,2025-12-19T04:52:44.135503,I have made the payment but not confirmed to order. Now what should i do
71,2025-12-11T06:25:44.135503,I need help understanding my last invoice. Invoice INV-10071.
72,2025-12-18T02:48:44.135503,Just checking in for an update on my order ORD-10072. Thanks.
73,2025-12-12T08:10:44.135503,I have not received my refund for order ORD-10073.
74,2025-12-14T06:56:44.135503,Why is this taking so long? Order number ORD-10074.
75,2025-12-19T03:33:44.135503,Please cancel my subscription immediately. Account ID ACC-10075.
76,2025-12-12T08:54:44.135503,Is my product shipping is done ?
77,2025-12-11T19:04:44.135503,My delivery has not arrived yet. Order ORD-10077.
78,2025-12-11T15:56:44.135503,Please cancel my subscription immediately. Account ID ACC-10078.
79,2025-12-15T17:58:44.135503,Why is this taking so long? Order number ORD-10079.
80,2025-12-14T07:44:44.135503,I have made the payment but not confirmed to order. Now what should i do
81,2025-12-13T15:17:44.135503,I requested a refund 3 days ago. Order ID ORD-10081. Please update.
82,2025-12-12T21:23:44.135503,"I have ordered 2 products , i recieved from both at a time form same delivery person , I didnt like both the proeducts i requested for return . The agent alloted is different for each product but the delivery agent took my both product and not answering calls i want refund for both the products."
83,2025-12-20T12:13:44.135503,I have made the payment but not confirmed to order. Now what should i do
84,2025-12-14T18:57:44.135503,I need help understanding my last invoice. Invoice INV-10084.
85,2025-12-20T07:44:44.135503,Is my product shipping is done ?
86,2025-12-18T12:41:44.135503,My delivery has not arrived yet. Order ORD-10086.
87,2025-12-13T15:58:44.135503,I have made the payment but not confirmed to order. Now what should i do
88,2025-12-14T23:17:44.135503,I have made the payment but not confirmed to order. Now what should i do
89,2025-12-14T01:52:44.135503,"I have ordered 2 products , i recieved from both at a time form same delivery person , I didnt like both the proeducts i requested for return . The agent alloted is different for each product but the delivery agent took my both product and not answering calls i want refund for both the products."
90,2025-12-20T12:20:44.135503,I have not received my refund for order ORD-10090.
91,2025-12-10T17:51:44.135503,Is my product shipping is done ?
92,2025-12-15T12:46:44.135503,I have not received my refund for order ORD-10092.
93,2025-12-16T06:45:44.135503,"I have ordered 2 products , i recieved from both at a time form same delivery person , I didnt like both the proeducts i requested for return . The agent alloted is different for each product but the delivery agent took my both product and not answering calls i want refund for both the products."
94,2025-12-21T10:11:44.135503,I have not received my refund for order ORD-10094.
95,2025-12-12T23:14:44.135503,My order ORD-10095 is delayed. This is very frustrating.
96,2025-12-18T16:17:44.135503,Can you tell me the status of my order ORD-10096?
97,2025-12-16T06:05:44.135503,My delivery has not arrived yet. Order ORD-10097.
98,2025-12-19T08:39:44.135503,I have made the payment but not confirmed to order. Now what should i do
99,2025-12-13T23:55:44.135503,"I have ordered 2 products , i recieved from both at a time form same delivery person , I didnt like both the proeducts i requested for return . The agent alloted is different for each product but the delivery agent took my both product and not answering calls i want refund for both the products."
100,2025-12-18T22:28:44.135503,Just checking in for an update on my order ORD-10100. Thanks.
101,2025-12-21T05:40:44.135503,I have not received my refund for order ORD-10101.
102,2025-12-14T03:14:44.135503,I have made the payment but not confirmed to order. Now what should i do
103,2025-12-10T13:06:44.135503,Just checking in for an update on my order ORD-10103. Thanks.
104,2025-12-12T21:51:44.135503,I requested a refund 10 days ago. Order ID ORD-10104. Please update.
105,2025-12-19T04:46:44.135503,Just checking in for an update on my order ORD-10105. Thanks.
106,2025-12-16T20:44:44.135503,"I ordered a product but i recieved a old used product , refund my money"
107,2025-12-11T20:20:44.135503,Can you tell me the status of my order ORD-10107?
108,2025-12-13T00:07:44.135503,"I ordered a product but i recieved a old used product , refund my money"
109,2025-12-10T15:50:44.135503,I need help understanding my last invoice. Invoice INV-10109.
110,2025-12-15T11:34:44.135503,My delivery has not arrived yet. Order ORD-10110.
111,2025-12-13T16:31:44.135503,Can you tell me the status of my order ORD-10111?
112,2025-12-15T21:49:44.135503,Is my product shipping is done ?
113,2025-12-17T12:35:44.135503,I have made the payment but not confirmed to order. Now what should i do
114,2025-12-12T00:48:44.135503,I was charged incorrectly for order ORD-10114. Please fix this.
115,2025-12-19T05:08:44.135503,My order ORD-10115 is delayed. This is very frustrating.
116,2025-12-12T07:03:44.135503,"I ordered a product but i recieved a old used product , refund my money"
117,2025-12-15T20:24:44.135503,My delivery has not arrived yet. Order ORD-10117.
118,2025-12-14T01:18:44.135503,I have not received my refund for order ORD-10118.
119,2025-12-16T10:57:44.135503,I requested a refund 0 days ago. Order ID ORD-10119. Please update.
120,2025-12-17T00:16:44.135503,I was charged incorrectly for order ORD-10120. Please fix this.
121,2025-12-12T21:59:44.135503,I have not received my refund for order ORD-10121.
122,2025-12-12T19:54:44.135503,Just checking in for an update on my order ORD-10122. Thanks.
123,2025-12-19T02:57:44.135503,Why is this taking so long? Order number ORD-10123.
124,2025-12-17T01:46:44.135503,I need help understanding my last invoice. Invoice INV-10124.
125,2025-12-16T08:00:44.135503,Can you tell me the status of my order ORD-10125?
126,2025-12-15T18:06:44.135503,I have made the payment but not confirmed to order. Now what should i do
127,2025-12-12T05:02:44.135503,I requested a refund 9 days ago. Order ID ORD-10127. Please update.
128,2025-12-11T02:35:44.135503,Is my product shipping is done ?
129,2025-12-17T18:42:44.135503,"I ordered a product but i recieved a old used product , refund my money"
130,2025-12-17T00:11:44.135503,"I have ordered 2 products , i recieved from both at a time form same delivery person , I didnt like both the proeducts i requested for return . The agent alloted is different for each product but the delivery agent took my both product and not answering calls i want refund for both the products."
131,2025-12-18T23:47:44.135503,Is my product shipping is done ?
132,2025-12-11T22:36:44.135503,"I ordered a product but i recieved a old used product , refund my money"
133,2025-12-18T03:45:44.135503,I requested a refund 10 days ago. Order ID ORD-10133. Please update.
134,2025-12-21T00:28:44.135503,Just checking in for an update on my order ORD-10134. Thanks.
135,2025-12-12T01:10:44.135503,I need help understanding my last invoice. Invoice INV-10135.
136,2025-12-12T21:47:44.135503,My delivery has not arrived yet. Order ORD-10136.
137,2025-12-18T07:19:44.135503,"I ordered a product but i recieved a old used product , refund my money"
138,2025-12-13T10:14:44.135503,My delivery has not arrived yet. Order ORD-10138.
139,2025-12-20T23:50:44.135503,"I ordered a product but i recieved a old used product , refund my money"
140,2025-12-12T12:22:44.135503,I have made the payment but not confirmed to order. Now what should i do
141,2025-12-10T14:23:44.135503,Please cancel my subscription immediately. Account ID ACC-10141.
142,2025-12-15T16:09:44.135503,Just checking in for an update on my order ORD-10142. Thanks.
143,2025-12-17T14:41:44.135503,Is my product shipping is done ?
144,2025-12-13T23:44:44.135503,Please cancel my subscription immediately. Account ID ACC-10144.
145,2025-12-18T08:24:44.135503,I need help understanding my last invoice. Invoice INV-10145.
146,2025-12-10T18:43:44.135503,I have made the payment but not confirmed to order. Now what should i do
147,2025-12-11T12:16:44.135503,Please cancel my subscription immediately. Account ID ACC-10147.
148,2025-12-17T15:16:44.135503,I have made the payment but not confirmed to order. Now what should i do
149,2025-12-15T10:12:44.135503,I need help understanding my last invoice. Invoice INV-10149.
150,2025-12-12T03:46:44.135503,I requested a refund 9 days ago. Order ID ORD-10150. Please update.
151,2025-12-10T13:44:44.135503,"I have ordered 2 products , i recieved from both at a time form same delivery person , I didnt like both the proeducts i requested for return . The agent alloted is different for each product but the delivery agent took my both product and not answering calls i want refund for both the products."
152,2025-12-12T10:17:44.135503,I need help understanding my last invoice. Invoice INV-10152.
153,2025-12-15T03:52:44.135503,Is my product shipping is done ?
154,2025-12-10T16:02:44.135503,I have made the payment but not confirmed to order. Now what should i do
155,2025-12-17T13:19:44.135503,I have not received my refund for order ORD-10155.
156,2025-12-15T11:39:44.135503,I requested a refund 4 days ago. Order ID ORD-10156. Please update.
157,2025-12-18T02:56:44.135503,I need help understanding my last invoice. Invoice INV-10157.
158,2025-12-16T04:33:44.135503,I requested a refund 6 days ago. Order ID ORD-10158. Please update.
159,2025-12-14T23:12:44.135503,I have not received my refund for order ORD-10159.
160,2025-12-16T05:00:44.135503,My order ORD-10160 is delayed. This is very frustrating.
161,2025-12-12T00:42:44.135503,Is my product shipping is done ?
162,2025-12-20T12:43:44.135503,Is my product shipping is done ?
163,2025-12-12T21:52:44.135503,I have not received my refund for order ORD-10163.
164,2025-12-13T10:43:44.135503,Why is this taking so long? Order number ORD-10164.
165,2025-12-16T09:47:44.135503,My delivery has not arrived yet. Order ORD-10165.
166,2025-12-16T10:28:44.135503,Is my product shipping is done ?
167,2025-12-15T19:45:44.135503,Please cancel my subscription immediately. Account ID ACC-10167.
168,2025-12-17T15:21:44.135503,I have made the payment but not confirmed to order. Now what should i do
169,2025-12-20T00:24:44.135503,"I ordered a product but i recieved a old used product , refund my money"
170,2025-12-12T20:22:44.135503,"I ordered a product but i recieved a old used product , refund my money"
171,2025-12-19T13:47:44.135503,My delivery has not arrived yet. Order ORD-10171.
172,2025-12-14T06:47:44.135503,I need help understanding my last invoice. Invoice INV-10172.
173,2025-12-18T19:51:44.135503,I have not received my refund for order ORD-10173.
174,2025-12-18T19:34:44.135503,Is my product shipping is done ?
175,2025-12-17T11:15:44.135503,Just checking in for an update on my order ORD-10175. Thanks.
176,2025-12-10T19:20:44.135503,I was charged incorrectly for order ORD-10176. Please fix this.
177,2025-12-16T00:52:44.135503,Can you tell me the status of my order ORD-10177?
178,2025-12-16T23:18:44.135503,"I have ordered 2 products , i recieved from both at a time form same delivery person , I didnt like both the proeducts i requested for return . The agent alloted is different for each product but the delivery agent took my both product and not answering calls i want refund for both the products."
179,2025-12-18T04:51:44.135503,"I have ordered 2 products , i recieved from both at a time form same delivery person , I didnt like both the proeducts i requested for return . The agent alloted is different for each product but the delivery agent took my both product and not answering calls i want refund for both the products."
180,2025-12-19T19:38:44.135503,Can you tell me the status of my order ORD-10180?
181,2025-12-10T17:12:44.135503,I have made the payment but not confirmed to order. Now what should i do
182,2025-12-19T02:11:44.135503,"I have ordered 2 products , i recieved from both at a time form same delivery person , I didnt like both the proeducts i requested for return . The agent alloted is different for each product but the delivery agent took my both product and not answering calls i want refund for both the products."
183,2025-12-20T23:44:44.135503,Just checking in for an update on my order ORD-10183. Thanks.
184,2025-12-18T01:14:44.135503,I was charged incorrectly for order ORD-10184. Please fix this.
185,2025-12-12T13:25:44.135503,I have made the payment but not confirmed to order. Now what should i do
186,2025-12-10T19:13:44.135503,Just checking in for an update on my order ORD-10186. Thanks.
187,2025-12-16T16:03:44.135503,I have not received my refund for order ORD-10187.
188,2025-12-10T13:32:44.135503,Just checking in for an update on my order ORD-10188. Thanks.
189,2025-12-16T16:16:44.135503,I need help understanding my last invoice. Invoice INV-10189.
190,2025-12-17T06:08:44.135503,I need help understanding my last invoice. Invoice INV-10190.
191,2025-12-16T08:26:44.135503,I need help understanding my last invoice. Invoice INV-10191.
192,2025-12-18T20:24:44.135503,I was charged incorrectly for order ORD-10192. Please fix this.
193,2025-12-14T15:42:44.135503,I was charged incorrectly for order ORD-10193. Please fix this.
194,2025-12-15T06:05:44.135503,I have made the payment but not confirmed to order. Now what should i do
195,2025-12-11T12:39:44.135503,I have not received my refund for order ORD-10195.
196,2025-12-21T07:46:44.135503,I need help understanding my last invoice. Invoice INV-10196.
197,2025-12-16T15:58:44.135503,I have not received my refund for order ORD-10197.
198,2025-12-17T03:59:44.135503,My delivery has not arrived yet. Order ORD-10198.
199,2025-12-16T06:50:44.135503,I have made the payment but not confirmed to order. Now what should i do
200,2025-12-21T00:57:44.135503,I requested a refund 3 days ago. Order ID ORD-10200. Please update.
201,2025-12-12T19:58:44.135503,I requested a refund 4 days ago. Order ID ORD-10201. Please update.
202,2025-12-11T06:05:44.135503,I have made the payment but not confirmed to order. Now what should i do
203,2025-12-20T17:10:44.135503,"I have ordered 2 products , i recieved from both at a time form same delivery person , I didnt like both the proeducts i requested for return . The agent alloted is different for each product but the delivery agent took my both product and not answering calls i want refund for both the products."
204,2025-12-13T14:35:44.135503,I need help understanding my last invoice. Invoice INV-10204.
205,2025-12-14T05:55:44.135503,I was charged incorrectly for order ORD-10205. Please fix this.
206,2025-12-13T07:52:44.135503,My order ORD-10206 is delayed. This is very frustrating.
207,2025-12-15T02:52:44.135503,I have made the payment but not confirmed to order. Now what should i do
208,2025-12-15T04:34:44.135503,Why is this taking so long? Order number ORD-10208.
209,2025-12-11T17:09:44.135503,My order ORD-10209 is delayed. This is very frustrating.
210,2025-12-12T05:52:44.135503,"I have ordered 2 products , i recieved from both at a time form same delivery person , I didnt like both the proeducts i requested for return . The agent alloted is different for each product but the delivery agent took my both product and not answering calls i want refund for both the products."
211,2025-12-16T17:34:44.135503,My delivery has not arrived yet. Order ORD-10211.
212,2025-12-14T22:27:44.135503,I have made the payment but not confirmed to order. Now what should i do
213,2025-12-13T00:54:44.135503,Is my product shipping is done ?
214,2025-12-12T16:49:44.135503,Why is this taking so long? Order number ORD-10214.
215,2025-12-13T10:18:44.135503,I was charged incorrectly for order ORD-10215. Please fix this.
216,2025-12-12T23:24:44.135503,Can you tell me the status of my order ORD-10216?
217,2025-12-21T11:54:44.135503,Please cancel my subscription immediately. Account ID ACC-10217.
218,2025-12-18T23:34:44.135503,I have made the payment but not confirmed to order. Now what should i do
219,2025-12-20T00:03:44.135503,I have made the payment but not confirmed to order. Now what should i do
220,2025-12-16T02:40:44.135503,I have made the payment but not confirmed to order. Now what should i do
221,2025-12-18T05:24:44.135503,I have made the payment but not confirmed to order. Now what should i do
222,2025-12-15T15:07:44.135503,I need help understanding my last invoice. Invoice INV-10222.
223,2025-12-19T16:14:44.135503,Please cancel my subscription immediately. Account ID ACC-10223.
224,2025-12-11T02:35:44.135503,Why is this taking so long? Order number ORD-10224.
225,2025-12-19T08:41:44.135503,I requested a refund 7 days ago. Order ID ORD-10225. Please update.
226,2025-12-19T22:37:44.135503,"I have ordered 2 products , i recieved from both at a time form same delivery person , I didnt like both the proeducts i requested for return . The agent alloted is different for each product but the delivery agent took my both product and not answering calls i want refund for both the products."
227,2025-12-16T13:52:44.135503,My order ORD-10227 is delayed. This is very frustrating.
228,2025-12-14T04:20:44.135503,Is my product shipping is done ?
229,2025-12-20T05:00:44.135503,Can you tell me the status of my order ORD-10229?
230,2025-12-12T21:33:44.135503,"I have ordered 2 products , i recieved from both at a time form same delivery person , I didnt like both the proeducts i requested for return . The agent alloted is different for each product but the delivery agent took my both product and not answering calls i want refund for both the products."
231,2025-12-17T04:29:44.135503,Can you tell me the status of my order ORD-10231?
232,2025-12-12T02:03:44.135503,I need help understanding my last invoice. Invoice INV-10232.
233,2025-12-12T08:19:44.135503,"I ordered a product but i recieved a old used product , refund my money"
234,2025-12-18T08:11:44.135503,I requested a refund 7 days ago. Order ID ORD-10234. Please update.
235,2025-12-11T04:56:44.135503,Why is this taking so long? Order number ORD-10235.
236,2025-12-16T18:45:44.135503,My order ORD-10236 is delayed. This is very frustrating.
237,2025-12-11T06:26:44.135503,My delivery has not arrived yet. Order ORD-10237.
238,2025-12-18T05:32:44.135503,I have not received my refund for order ORD-10238.
239,2025-12-20T20:17:44.135503,Can you tell me the status of my order ORD-10239?
240,2025-12-21T07:36:44.135503,Just checking in for an update on my order ORD-10240. Thanks.
241,2025-12-12T12:36:44.135503,Can you tell me the status of my order ORD-10241?
242,2025-12-10T19:40:44.135503,Is my product shipping is done ?
243,2025-12-14T13:00:44.135503,Is my product shipping is done ?
244,2025-12-20T02:50:44.135503,Just checking in for an update on my order ORD-10244. Thanks.
245,2025-12-10T22:45:44.135503,Please cancel my subscription immediately. Account ID ACC-10245.
246,2025-12-11T04:09:44.135503,Why is this taking so long? Order number ORD-10246.
247,2025-12-11T21:43:44.135503,Please cancel my subscription immediately. Account ID ACC-10247.
248,2025-12-20T04:26:44.135503,I have not received my refund for order ORD-10248.
249,2025-12-16T07:00:44.135503,Can you tell me the status of my order ORD-10249?
250,2025-12-18T14:51:44.135503,I have made the payment but not confirmed to order. Now what should i do
251,2025-12-16T18:26:44.135503,Is my product shipping is done ?
252,2025-12-13T17:36:44.135503,I need help understanding my last invoice. Invoice INV-10252.
253,2025-12-12T15:23:44.135503,I have not received my refund for order ORD-10253.
254,2025-12-13T00:12:44.135503,I have made the payment but not confirmed to order. Now what should i do
255,2025-12-13T22:55:44.135503,I requested a refund 0 days ago. Order ID ORD-10255. Please update.
256,2025-12-20T00:06:44.135503,Please cancel my subscription immediately. Account ID ACC-10256.
257,2025-12-15T11:37:44.135503,My delivery has not arrived yet. Order ORD-10257.
258,2025-12-21T06:35:44.135503,Can you tell me the status of my order ORD-10258?
259,2025-12-11T11:38:44.135503,Just checking in for an update on my order ORD-10259. Thanks.
260,2025-12-16T13:33:44.135503,Please cancel my subscription immediately. Account ID ACC-10260.
261,2025-12-17T14:11:44.135503,I need help understanding my last invoice. Invoice INV-10261.
262,2025-12-11T08:08:44.135503,I requested a refund 2 days ago. Order ID ORD-10262. Please update.
263,2025-12-17T13:07:44.135503,Why is this taking so long? Order number ORD-10263.
264,2025-12-18T07:30:44.135503,I need help understanding my last invoice. Invoice INV-10264.
265,2025-12-15T11:22:44.135503,I have not received my refund for order ORD-10265.
266,2025-12-15T21:55:44.135503,I requested a refund 4 days ago. Order ID ORD-10266. Please update.
267,2025-12-20T12:29:44.135503,Please cancel my subscription immediately. Account ID ACC-10267.
268,2025-12-14T22:44:44.135503,"I have ordered 2 products , i recieved from both at a time form same delivery person , I didnt like both the proeducts i requested for return . The agent alloted is different for each product but the delivery agent took my both product and not answering calls i want refund for both the products."
269,2025-12-15T06:00:44.135503,I need help understanding my last invoice. Invoice INV-10269.
270,2025-12-15T01:24:44.135503,My delivery has not arrived yet. Order ORD-10270.
271,2025-12-13T07:14:44.135503,Is my product shipping is done ?
272,2025-12-20T21:20:44.135503,Can you tell me the status of my order ORD-10272?
273,2025-12-19T10:45:44.135503,"I ordered a product but i recieved a old used product , refund my money"
274,2025-12-10T22:26:44.135503,My order ORD-10274 is delayed. This is very frustrating.
275,2025-12-10T18:58:44.135503,Just checking in for an update on my order ORD-10275. Thanks.
276,2025-12-12T01:53:44.135503,I was charged incorrectly for order ORD-10276. Please fix this.
277,2025-12-10T19:25:44.135503,Just checking in for an update on my order ORD-10277. Thanks.
278,2025-12-20T11:22:44.135503,Please cancel my subscription immediately. Account ID ACC-10278.
279,2025-12-16T22:54:44.135503,Please cancel my subscription immediately. Account ID ACC-10279.
280,2025-12-16T15:25:44.135503,I need help understanding my last invoice. Invoice INV-10280.
281,2025-12-20T20:33:44.135503,Please cancel my subscription immediately. Account ID ACC-10281.
282,2025-12-12T13:53:44.135503,Is my product shipping is done ?
283,2025-12-17T19:42:44.135503,I have made the payment but not confirmed to order. Now what should i do
284,2025-12-15T17:44:44.135503,I have not received my refund for order ORD-10284.
285,2025-12-15T23:35:44.135503,Just checking in for an update on my order ORD-10285. Thanks.
286,2025-12-14T20:48:44.135503,"I ordered a product but i recieved a old used product , refund my money"
287,2025-12-20T04:17:44.135503,My delivery has not arrived yet. Order ORD-10287.
288,2025-12-13T18:18:44.135503,Please cancel my subscription immediately. Account ID ACC-10288.
289,2025-12-19T21:40:44.135503,My delivery has not arrived yet. Order ORD-10289.
290,2025-12-15T08:08:44.135503,Just checking in for an update on my order ORD-10290. Thanks.
291,2025-12-10T16:01:44.135503,Why is this taking so long? Order number ORD-10291.
292,2025-12-18T12:10:44.135503,I have made the payment but not confirmed to order. Now what should i do
293,2025-12-10T23:35:44.135503,My delivery has not arrived yet. Order ORD-10293.
294,2025-12-19T04:25:44.135503,"I have ordered 2 products , i recieved from both at a time form same delivery person , I didnt like both the proeducts i requested for return . The agent alloted is different for each product but the delivery agent took my both product and not answering calls i want refund for both the products."
295,2025-12-13T08:07:44.135503,I need help understanding my last invoice. Invoice INV-10295.
296,2025-12-10T19:14:44.135503,My delivery has not arrived yet. Order ORD-10296.
297,2025-12-21T08:48:44.135503,I have made the payment but not confirmed to order. Now what should i do
298,2025-12-13T01:30:44.135503,Can you tell me the status of my order ORD-10298?
299,2025-12-19T20:08:44.135503,I was charged incorrectly for order ORD-10299. Please fix this.
300,2025-12-11T16:09:44.135503,Can you tell me the status of my order ORD-10300?
301,2025-12-15T13:00:44.135503,I have made the payment but not confirmed to order. Now what should i do
302,2025-12-12T12:23:44.135503,Just checking in for an update on my order ORD-10302. Thanks.
303,2025-12-14T21:30:44.135503,Just checking in for an update on my order ORD-10303. Thanks.
304,2025-12-13T05:41:44.135503,I have made the payment but not confirmed to order. Now what should i do
305,2025-12-18T18:07:44.135503,My order ORD-10305 is delayed. This is very frustrating.
306,2025-12-17T20:11:44.135503,Is my product shipping is done ?
307,2025-12-15T22:42:44.135503,Please cancel my subscription immediately. Account ID ACC-10307.
308,2025-12-16T12:41:44.135503,I was charged incorrectly for order ORD-10308. Please fix this.
309,2025-12-15T17:24:44.135503,I have made the payment but not confirmed to order. Now what should i do
310,2025-12-17T12:00:44.135503,I have made the payment but not confirmed to order. Now what should i do
311,2025-12-20T06:18:44.135503,Can you tell me the status of my order ORD-10311?
312,2025-12-18T04:27:44.135503,My delivery has not arrived yet. Order ORD-10312.
313,2025-12-20T07:32:44.135503,My order ORD-10313 is delayed. This is very frustrating.
314,2025-12-11T21:46:44.135503,Can you tell me the status of my order ORD-10314?
315,2025-12-11T23:50:44.135503,Just checking in for an update on my order ORD-10315. Thanks.
316,2025-12-16T11:35:44.135503,"I have ordered 2 products , i recieved from both at a time form same delivery person , I didnt like both the proeducts i requested for return . The agent alloted is different for each product but the delivery agent took my both product and not answering calls i want refund for both the products."
317,2025-12-16T21:06:44.135503,Is my product shipping is done ?
318,2025-12-18T21:08:44.135503,I have not received my refund for order ORD-10318.
319,2025-12-16T11:28:44.135503,Just checking in for an update on my order ORD-10319. Thanks.
320,2025-12-13T14:27:44.135503,I requested a refund 1 days ago. Order ID ORD-10320. Please update.
321,2025-12-20T15:37:44.135503,Why is this taking so long? Order number ORD-10321.
322,2025-12-13T18:52:44.135503,My order ORD-10322 is delayed. This is very frustrating.
323,2025-12-14T19:53:44.135503,Is my product shipping is done ?
